datID,cohort,week,session,mouseID,expID,rawPath,firstTiff
1,coh1,w11,ses1_20210915,M10,contrast,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M10_PVtd_3mm/RAW/Contrast,Contrast_M110_00001_00001.tif
2,coh1,w11,ses1_20210915,M10,DR,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M10_PVtd_3mm/RAW/DR,DR_M10_00001_00001.tif
3,coh1,w11,ses1_20210915,M10,OO,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M10_PVtd_3mm/RAW/OO,OO_M10_00001_00001.tif
4,coh1,w11,ses1_20210915,M10,OR,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M10_PVtd_3mm/RAW/OR,OR_M10_00001_00001.tif
5,coh1,w11,ses1_20210915,M10,OR2,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M10_PVtd_3mm/RAW/OR_2,OR_M10_00002_00001.tif
6,coh1,w11,ses2_20210916,M10,SF,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M10_PVtd_3mm/RAW/SF,SF_M10_00001_00001.tif
7,coh1,w11,ses2_20210916,M10,TF,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M10_PVtd_3mm/RAW/TF,TF_M10_00001_00001.tif
8,coh1,w11,ses1_20210915,M10,RF,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M10_PVtd_3mm/RAW/RF,RF_M10_00001_00001.tif
9,coh1,w11,ses1_20210915,M11,contrast,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M11_pvtd_3mm/RAW/Contrast,Contrast_M11_00001_00001.tif
10,coh1,w11,ses1_20210915,M11,DR,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M11_pvtd_3mm/RAW/DR,DR_M11_00001_00001.tif
11,coh1,w11,ses1_20210915,M11,OR,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M11_pvtd_3mm/RAW/OR,OR_M11_00001_00001.tif
12,coh1,w11,ses1_20210915,M11,OO,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M11_pvtd_3mm/RAW/OO,OO_M11_00001_00001.tif
13,coh1,w11,ses1_20210915,M11,RF,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M11_pvtd_3mm/RAW/RF,RF_M11_00001_00001.tif
14,coh1,w11,ses1_20210915,M11,TF,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M11_pvtd_3mm/RAW/TF,TF_M11_00001_00001.tif
15,coh1,w11,ses1_20210915,M11,SF,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M11_pvtd_3mm/RAW/SF,SF_M11_00001_00001.tif
16,coh1,w11,ses1_20210913,M12,contrast,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M12_mecp2pvtd_3mm/RAW/Contrast,Contrast_M12_00001_00001.tif
17,coh1,w11,ses2_20210914,M12,contrast,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M12_mecp2pvtd_3mm/RAW/Contrast_0914,Contrast_M12_00001_00001.tif
18,coh1,w11,ses1_20210913,M12,DR,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M12_mecp2pvtd_3mm/RAW/DR,DR_M12_00001_00001.tif
19,coh1,w11,ses1_20210913,M12,OR,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M12_mecp2pvtd_3mm/RAW/OR,OR_M12_00001_00001.tif
20,coh1,w11,ses1_20210913,M12,OO,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M12_mecp2pvtd_3mm/RAW/OO,oo_M12_00001_00001.tif
21,coh1,w11,ses2_20210914,M12,RF,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M12_mecp2pvtd_3mm/RAW/RF_0914,RF_M12_00001_00001.tif
22,coh1,w11,ses1_20210913,M12,RF,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M12_mecp2pvtd_3mm/RAW/RF,RF_M12_00001_00001.tif
23,coh1,w11,ses1_20210913,M12,TF,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M12_mecp2pvtd_3mm/RAW/TF,TF_M12_00001_00001.tif
24,coh1,w11,ses1_20210913,M12,SF,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M12_mecp2pvtd_3mm/RAW/SF,SF_M12_00001_00001.tif
25,coh1,w11,ses1_20210918,M18,contrast,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M18/RAW/Contrast,contrast_M18_00001_00001.tif
26,coh1,w11,ses1_20210918,M18,DR,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M18/RAW/DR,DR_M18_00001_00001.tif
27,coh1,w11,ses1_20210918,M18,OR,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M18/RAW/OR,OR_M18_00001_00001.tif
28,coh1,w11,ses1_20210918,M18,OO,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M18/RAW/OO,OO_M18_00001_00001.tif
29,coh1,w11,ses1_20210918,M18,RF,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M18/RAW/RF,RF_M18_00001_00001.tif
30,coh1,w11,ses1_20210918,M18,TF,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M18/RAW/TF,TF_M18_00001_00001.tif
31,coh1,w11,ses1_20210918,M18,SF,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M18/RAW/SF,SF_M18_00001_00001.tif
32,coh1,w11,ses1_20210917,M20,contrast,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M20_Mecp2_pvtd_3mm/RAW/Contrast,contrast_M18_00001_00001.tif
33,coh1,w11,ses1_20210917,M20,DR,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M20_Mecp2_pvtd_3mm/RAW/DR,DR_M18_00001_00001.tif
34,coh1,w11,ses1_20210917,M20,DR2,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M20_Mecp2_pvtd_3mm/RAW/DR_2,DR_M18_00002_00001.tif
35,coh1,w11,ses1_20210917,M20,OR,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M20_Mecp2_pvtd_3mm/RAW/OR,OR_M18_00001_00001.tif
36,coh1,w11,ses1_20210917,M20,OR2,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M20_Mecp2_pvtd_3mm/RAW/OR_2,OR_M18_00002_00001.tif
37,coh1,w11,ses1_20210917,M20,OR3,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M20_Mecp2_pvtd_3mm/RAW/OR_3,OR_M18_00003_00001.tif
38,coh1,w11,ses2_20210918,M20,OR,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M20_Mecp2_pvtd_3mm/RAW/OR_4,OR_M20_00001_00001.tif
39,coh1,w11,ses1_20210917,M20,OO,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M20_Mecp2_pvtd_3mm/RAW/OO,OO_M20_00001_00001.tif
40,coh1,w11,ses1_20210917,M20,RF,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M20_Mecp2_pvtd_3mm/RAW/RF,RF_M18_00001_00001.tif
41,coh1,w11,ses1_20210917,M20,TF,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M20_Mecp2_pvtd_3mm/RAW/TF,TF_M18_00001_00001.tif
42,coh1,w11,ses1_20210917,M20,TF2,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M20_Mecp2_pvtd_3mm/RAW/TF_2,TF_M20_00001_00001.tif
43,coh1,w11,ses1_20210917,M20,SF,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M20_Mecp2_pvtd_3mm/RAW/SF,SF_M20_00001_00001.tif
44,coh1,w11,ses1_20210919,M22,contrast,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M22/RAW/Contrast,Contrast_M22_00001_00001.tif
45,coh1,w11,ses1_20210919,M22,DR,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M22/RAW/DR,DR_M22_00001_00001.tif
